pali_1,pos,meaning_1,root,pattern,sbs_class
sacca 1,adj,true; correct; accurate; honest; reliable,√as 1,a adj,11
sacca 2,nt,truth,√as 1,a nt,9
saccato,ind,as true; truly; really,√as 1,,11
saccaṃ,ind,truly; really,√as 1,,13
sacchi,adj,personal; with one's own eyes; witnessing for oneself,√akkh,i adj,11
sañcaritta,nt,matchmaking; carrying proposals,√car 1,a nt,9
sañcicca,ind,intentionally; purposefully; wilfully; deliberately,√cit 1,,13
sañcetanā,fem,wishing; intending; willing; making a choice,√cit 1,ā fem,7
sañjānāti,pr,knows; knows as; perceives; conceives; recognizes,√ñā,āti pr,3
saññatta 1.2,pp,instructed; informed,√ñā,a pp,14
saññā 1,fem,perception; conception; recognition; third of the five aggregates,√ñā,ā fem,7
saṇikaṃ,ind,slowly; gradually,,,13
saṇṭhapeti,pr,makes stable; steadies; establishes,√ṭhā,eti pr,14
saṇṭhāti,pr,remains (in); continues (in); persists (in); is established (in); stands firm (in),√ṭhā,āti pr,3
saṇha,adj,smooth; soft; gentle; mild; polite,,a adj,11
sata 1.1,pp,mindful; present; attentive,√sar 2,a pp,11
sata 2.1,card,one hundred (100),,a2 card,12
sati 1.2,fem,mindfulness; presence; recollection; awareness,√sar 2,i fem,8
sati 2.1,prp,when is; when exists,√as 1,santa prp,10
satimant 1,adj,mindful; fully present; attentive,√sar 2,ant adj,6
sato,prp,when being; when is; when are,√as 1,santa prp,10
satta 1.1,card,seven (7),,a1 card,12
satta 2.1,masc,being; living being; creature,√as 1,a masc,2
sattama 1.1,ordin,seventh (7th),,a ordin east,12
satti 1,fem,spear; javelin; weapon,√sak,i fem,8
satthar 1,masc,master; teacher,√sās,ar masc,6
sadā,ind,always; ever; all the time,,,6
saddhā 1,fem,faith (in); belief (in); trust (in),√dhā,ā fem,7
saddhā 2,fem,confidence (in); assurance (in); conviction (in),√dhā,ā fem,7
saddhiṃ,ind,together (with); with,,,5
sadhana 1.1,adj,rich; wealthy,√dhan 1,a adj,11
santa 1.1,prp,existing; being; there is,√as 1,santa prp,10
santa 2.1,pp,still; calm; at peace; tranquil,√sam 1,a pp,11
santatta 1,pp,heated; made red-hot; scorched,√tap,a pp,11
santuṭṭha 1,pp,satisfied; pleased; content; happy with,√tus,a pp,11
santussaka,adj,who is satisfied; who is pleased; who is content,√tus,a adj,13
santhata 1,nt,spread; bedspread; coverlet; counterpane,√thar,a nt,9
santhambhati 1,pr,stands firm; remains steadfast; is resolute; takes heart,√thambh,ati pr,3
santhava 1,nt,intimacy (with); close association (with),√thu 2,a nt,9
santhā,fem,meeting together; assembly,√ṭhā,ā fem,7
hita 4,pp,put; placed,√dhā,a pp,11
sandassiyamāna 1,prp,being compared; being checked; being verified,√dis 1,māna prp,13
sandassetabba,ptp,should be compared (to); should be checked (with); should be verified (with),√dis 1,a ptp,14
sandassetvā,abs,having instructed; having explained,√dis 1,,14
sandiṭṭhika,adj,directly visible; evident; real; perceivable; (comm) able to be seen by oneself,√dis 1,a adj,11
sandissati 2,pr,is seen (in); is comparable (with); agrees (with),√dis 1,ati pr,13
sannicaya,masc,hoard; pile; stockpile; cache; stash; accumulation,√ci 1,a masc,2
sappāṇaka,adj,containing living beings,√an,a adj,11
sabba 1,pron,all; every,,a pron,10
sabba 2,pron,everything; everyone; all,,a pron,10
sabbattha 1,ind,everywhere; every place,,,8
sabbadā,ind,always; at all times,,,13
sabbadhi,ind,everywhere; in every way; in all respects,,,13
sabbaso 1,ind,in every way; completely; altogether,,,13
sabbavidū 1,adj,all-knowing; omniscient,,ū adj,6
sabbābhibhū,adj,all conquering; victorious over everything,,ū adj,6
sabbāvant,adj,entire; whole; complete,,ant adj,6
sabyañjana,adj,in letter; (or) well phrased,√añj 1,a adj,11
sama 1.2,adj,like; equal (to); same (as); identical (to),,a adj,11
samagga 1,adj,(vinaya) unified; united; in concord; harmonious; in agreement,,a adj,11
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse,√sam 2,a masc,2
samaṇaka,masc,low ascetic; worthless ascetic,√sam 2,a masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,√kam 1,a masc,2
samatha 1.1,masc,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,√sam 1,a masc,2
samanaka,adj,with understanding; with intelligence; (comm) with mind,√man,a adj,11
samanugāhiyamāna,prp,being closely questioned (by); being interrogated (by); being pressed (by),√gāh,māna prp,13
samanupassati 2,pr,regards; considers; recognises (as); sees (as),√dis 1,ati pr,3
samanupassanta,prp,seeing; perceiving,√dis 1,anta prp,10
samanupassituṃ,inf,to see (as); to regard (as); to consider (as),√dis 1,,9
samanubhāsiyamāna,prp,being admonished (by); being sternly advised (by),√bhās 1,māna prp,13
samanuyuñjiyamāna,prp,being cross-questioned (by); being cross-examined (by),√yuj,māna prp,13
samannāgata,pp,possessing; endowed (with); having,√gam,a pp,11
samannāharitvā,abs,having focused; having concentrated,√har 1,,8
samappita 2,pp,ended up (in); consigned (to); delivered (to); committed (to),√ar,a pp,14
samaya 1.1,masc,time; occasion,√i 1,a masc,2
samaṃ 2,ind,in a similar manner; similarly likewise,,,13
samāgata 1,pp,gathered; assembled; met,√gam,a pp,11
samācare,opt,,√car 2,ati pr,7
samācāra,masc,conduct; behaviour; activity,√car 2,a masc,2
samādapeti,pr,arouses; incites; instigates; encourages,√ādā,eti pr,14
samādapetvā,abs,having aroused; having encouraged,√ādā,,14
samādāna,nt,undertaking; taking upon oneself; perpetrating,√ādā,a nt,9
samādāya 2,ger,undertaking; taking up; accepting,√ādā,,8
samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure,√dhā,i masc,4
samādhiyati,pr,is calmed (for); becomes collected (for); becomes composed (for); becomes stable (for),√dhā,ati pr,13
samāna 2.1,prp,being; having; existing,√as 1,māna prp,10
samāpajjati 2,pr,engages (in); practices; performs,√pad,ati pr,3
samāpajjitvā,abs,having entered; having attained,√pad,,8
samāpatti 1,fem,attainment; meditation attainment,√pad,i fem,8
samāsati,pr,associates (with); keeps close company (with),√ās,ati pr,3
samāhita 1,pp,composed; centred; settled; collected,√dhā,a pp,11
samijjhati,pr,achieves; succeeds; prospers; works out well,√idh,ati pr,3
samiñjita 2,pp,bent back; folded back; flexed back,√iñj,a pp,11
samitatta,nt,calmness (of); peacefulness (of),√sam 1,a nt,9
samucchindati 1,pr,cuts off completely; uproots; eradicates; exterminates,√chid,ati pr,3
samuttejetvā,abs,having fired up; having enthused,√tij 1,,8
samudaya 1,masc,source; origination; appearance,√i 1,a masc,2
samudācarati 2.1,pr,overwhelms; assails; assaults; (comm) occurs,√car 1,ati pr,3
samudda,masc,sea; ocean,√ud,a masc,2
samuppāda 1,masc,origin (of); arising (of); appearance (of),√pad,a masc,2
samuppāda 2,masc,issue; conflict; something which arises,√pad,a masc,2
samūla,adj,with the root; at the source; together with the foundation,√mūl,a adj,11
samūhata 1,pp,removed; uprooted; eradicated; exterminated; destroyed,√han,a pp,11
sameti 1.1,pr,calms down; settles; stills; makes subside,√sam 1,eti pr,14
sameti 2.2,pr,agrees (with); matches (with); fits (with); fits in (with),√i 1,eti pr,3
sampajañña 1,nt,attentiveness; clear awareness; full comprehension,√ñā,a nt,9
sampajāna 1,adj,clearly aware; fully knowing; completely comprehending,√ñā,a adj,11
sampadā 1,fem,attainment (of); achievement (of); accomplishment (of); success (in),√pad,ā fem,7
sampayojesi 1,aor,quarrelled; engaged in conflict,√yuj,esi aor,14
sampasādana 1,nt,calming; tranquillising; pacifying; settling,√sad,a nt,9
sampasāriyati,pr,is drawn forward; is inclined towards,√sar 1,ati pr,14
sampasīdati,pr,is sure (about); is certain (about); is settled (regarding); is confident (about),√sad,ati pr,3
sampassamāna,prp,seeing; observing; considering,√dis 1,māna prp,10
sampahaṃsetvā,abs,having delighted; having pleased; having thrilled,√haṃs,,14
sampādetuṃ,inf,,√pad,,14
sampha 1,adj,frivolous; foolish; useless,,a adj,11
sambuddha 1,masc,Awakened One; Buddha; who is wide awake; who has completely understood,√budh,a masc,11
sambodha,masc,full awakening; perfect understanding; enlightenment,√budh,a masc,2
sambodhi,fem,full awakening; enlightenment,√budh,i fem,8
sambhava 1,masc,birth; origin; source (of),√bhū,a masc,2
sambheda 1,masc,confusion; disarray,√bhid,a masc,2
sammata 2,pp,authorized; appointed; assigned; designated,√man,a pp,11
sammā 1,ind,completely; thoroughly; fully; totally,,,13
sammā 2,ind,perfectly; rightly; correctly; properly,,,13
sammukhā,ind,face to face (with); in front (of); in the presence (of),,,13
sammodamāna,prp,being friendly; being on good terms,√mud,māna prp,10
sammodi,aor,greeted; exchanged pleasantries; had a friendly conversation (with),√mud,i aor,4
sayaṃ,ind,by one’s own; oneself; one’s own,,,13
sayāna,prp,lying down,√sī,āna prp,10
sara 2.1,masc,sound; voice; tone,√sar 3,a masc,2
saraṇa 2.1,nt,shelter; refuge; help,√sar 1,a nt,9
saramāna,prp,remembering; recollecting,√sar 2,māna prp,10
saritvā 1.1,abs,having remembered; having recollected,√sar 2,,8
sarīra 1,nt,body,,a nt,9
sarena,ind,sweetly; melodiously,√sar 3,,13
sallato,ind,as an arrow; as a dagger,,,11
sallahuka 1,adj,frugal; light,,a adj,11
sasaññī,adj,percipient; with perception; with awareness,√ñā,ī adj,5
sasīsaṃ,ind,up to the head; including the head,,,13
sassata,adj,eternal; everlasting; endless; perpetual; (comm) existing forever,,a adj,11
savana 1.2,nt,hearing (of); listening (to),√su 1,a nt,9
savicāra,adj,with management; with planning,√car 1,a adj,14
savitakka,adj,with thinking; accompanied with reflection,√takk,a adj,11
saha 1.2,ind,with; together (with); accompanied (by),,,5
sahasā 1,ind,forcibly; quickly; suddenly; all of a sudden,√sah 1,,13
sahasā 2,ind,rashly; in haste,√sah 1,,13
sahassa 1,card,one thousand (1000),,a2 card,12
saṃyoga 2,masc,attachment; association; involvement,√yuj,a masc,14
saṃyojana 1,nt,fetter; chain; bond; thing which binds,√yuj,a nt,14
saṃsīdati,pr,sinks down; drowns,√sad,ati pr,3
saṃvaṇṇeti 1,pr,praises; commends; extols; speaks highly (of),√vaṇṇ,eti pr,3
saṃvattati,pr,leads (to); results (in); causes,√vatt,ati pr,3
saṃvattanika 1,adj,leading (to); headed (to); conducive (to),√vatt,a adj,11
saṃvara 1,masc,control (according to); restraint (according to); holding back (according to),√var 1,a masc,2
saṃvara 2,masc,control (over); restraint (of); holding back (of),√var 1,a masc,2
saṃvijjamāna,prp,existing (in); being found (in),√vid 6,māna prp,13
saṃvidhātuṃ,inf,to organize; to arrange; to take care of,√dhā,,9
saṃvibhāga,masc,sharing; donation; distribution; doling out,√bhaj 1,a masc,2
saṃvesiyamāna,prp,being put to bed (by); being laid down (by),√vis 1,māna prp,14
saṃhāni,fem,decrease (of); dwindling (of); decay (of); weakening (of),√hā 2,i fem,8
saṃhita,pp,connected (with); concerning; having,√dhā,a pp,11
sākhā 1,fem,branch,,ā fem,7
sākhā 2,fem,rivulet; creek; streamlet,,ā fem,7
sāṭaka 1,masc,cloak; outer garment,,a masc,2
sāttha,adj,in meaning; in spirit; (or) with meaning; meaningful,√ar,a adj,11
sāditabba,ptp,could be consented to (by); could be accepted (by); should be permitted (by),√sād,a ptp,14
sādiyati 1,pr,consents (to); accepts; agrees (to); permits,√sād,ati pr,14
sādhukaṃ,ind,well; carefully; thoroughly; fully; completely,√sādh,,13
sāpadesa,adj,with reason; reasonable; with grounds; with authority,√dis 2,a adj,11
sāmaggī 1,fem,concord; unity; peace; harmony,,ī fem,8
sāmaṃ 1,ind,oneself; by oneself; for oneself,,,13
sāmika 1,masc,owner,,a masc,2
sāmīci 1,fem,right way; correct course; proper procedure,,i fem,8
sāyita 1,pp,tasted; savoured,√sāy,a pp,11
sāyita 2,nt,tasting; savouring,√sāy,a nt,11
sāyitvā,abs,having tasted,√sāy,,8
sāra 1,adj,essential; fundamental; substantial; valuable; sound,√sar 1,a adj,11
sāra 2,masc,core; essence; substance; value,√sar 1,a masc,2
sāraṇīya 1.1,ptp,polite; pleasant; charming; (comm) fit to be remembered,√raj 1,a ptp,14
sārato,ind,as essential; as substantial; as valuable,√sar 1,,11
sārathi 2,masc,(horse or elephant) trainer,,i masc,4
sārambha 2.1,adj,harmful; hurtful; injurious (to living creatures),√rabh 2,a adj,11
sārāga,masc,passion; infatuation; attachment to,√raj 1,a masc,2
sāruppa,adj,suitable (for); proper (for); appropriate (for),√rūp,a adj,11
sāla 1.1,masc,sal tree; Shorea robusta,,a masc,2
sāli,masc,fine rice,,i masc,4
sāsana 1,nt,message; letter,√sās,a nt,9
sāsapa,masc,mustard; mustard seed,,a masc,2
sāvaka,masc,disciple; pupil; follower,√su 1,a masc,2
sāvatthī,fem,name of a city; capital of Kosala,√su 2,ī fem,8
sāhāra 1,adj,with fuel; with nutriment; with sustenance,√har 2,a adj,11
sikkhati 2,pr,trains (in); trains (for the purpose of); practices (for the sake of); practice (to),√sikkh,ati pr,3
sikkhā 2,fem,training (in); practice (in),√sikkh,ā fem,7
sikkhākāma,adj,desiring to train; wanting to practice,,a adj,9
sikkhitabba,ptp,should be learned (by); should be practised (by); should be trained (by),√sikkh,a ptp,14
siñcati 1,pr,waters; pours; sprinkles; scatters,√sic,ati pr,3
siñcāpeti,pr,causes to water; causes to pour; makes sprinkle; causes to scatter,√sic,eti pr,14
sithila 1,adj,loose; lax; slack; (comm) loosely grasped,,a adj,11
sippika 1.1,masc,craftsman; artisan,,a masc,2
siyaṃ,opt,I could be; may I be; I might be; I should be,√as 1,siyā opt,7
siyā 1,opt,could be; may be; might be; should be,√as 1,siyā opt,7
siyā 2,opt,there could be,√as 1,siyā opt,7
siyuṃ,opt,they would be; there could be,√as 1,siyā opt,7
sīghaṃ,ind,quickly; swiftly; rapidly,,,13
sīmā 2,fem,(vinaya) boundary in which legal procedures are performed,,ā fem,7
sīla 1,nt,ethical conduct; virtue; moral integrity,√sīl,a nt,9
sīlavant,adj,virtuous; ethical; moral,√sīl,ant adj,6
sīsa 1,nt,head,,a nt,9
sīha 1,masc,lion,,a masc,2
sukara 1,adj,easily done; easy to do,√kar,a adj,11
sukka 1,adj,pure; bright,√suc 2,a adj,11
sukha 1,adj,easy (on); comfortable (for); pleasant (for); good (for); contented,√sukh,a adj,11
sukhakāma,adj,wishing for ease; desiring comfort,,a adj,9
sukhaṃ,ind,easily; comfortably; pleasantly; happily,√sukh,,13
sukhāya,nt,comfortable (for),√sukh,a nt,9
sukhita,pp,pleased; delighted; blessed; comforted; happy,√sukh,a pp,11
sukhī 2,masc,happy one; who is at ease; who is happy; who is comfortable,√sukh,ī masc,5
sukhuma 1,adj,fine; subtle; refined,,a adj,11
sugata 2,masc,Accomplished One; Fortunate One; epithet of the Buddha,√gam,a masc,2
sugata 3,adj,standard; commonly accepted,√gam,a adj,11
sugati,fem,good destination; happy fate,√gam,i fem,8
suggati,fem,state of happiness; good destination; heaven,√gam,i fem,8
suci 1,adj,clean; pure,√suc 2,i adj,11
suñña 2,adj,empty; uninhabited,,a adj,11
suññatā,fem,emptiness; voidness; non-subjectivity,,ā fem,7
suññato,ind,as empty; as void; as essenceless,,,11
suṇāti 1,pr,hears,√su 1,āti pr,3
suṇātu,imp,one must listen!; it must hear!,√su 1,āti pr,4
sutta 1.1,pp,sleeping; asleep,√sup,a pp,11
sutta 2.1,nt,scripture; discourse; sacred text,√siv 1,a nt,9
sutvā,abs,having heard; having listened (to),√su 1,,8
sudanta,adj,well tamed (by); well trained (by); well controlled (by),√dam,a adj,11
suduttara,adj,extremely difficult to cross; very hard to escape,√tar 1,a adj,11
sudesita,adj,well preached; well taught; well explained; well instructed,√dis 2,a adj,14
sunakkhatta 2,masc,name of a former monk,√nakkh,a masc,2
supatiṭṭhita 1,adj,,√ṭhā,a adj,11
supita,nt,sleep,√sup,a nt,11
suppaṭividdha,adj,thoroughly penetrated (by); completely understood (by),√vidh,a adj,11
subhaga,adj,lucky; fortunate; blessed,√bhaj 1,a adj,11
subhara,adj,easy to support; low maintenance,√bhar,a adj,11
subhāsita 1,adj,well spoken; articulate; eloquent,√bhās 1,a adj,11
sumana 1,adj,glad; happy; pleased; satisfied; cheerful,√man,a adj,11
sumedha 1,adj,wise; sage,√medh 1,a adj,11
suyyati,pr,is heard,√su 1,ati pr,13
suriya 1,masc,sun,√sur,a masc,2
susamāraddha,adj,resolutely undertaken; fully engaged with; energetically taken up; (comm) firmly held up,√rabh 1,a adj,11
suvaca,adj,easy to instruct; obedient; compliant,√vac,a adj,11
suvisuddha,adj,well cleansed; perfectly purified; completely pure,√sudh,a adj,11
suve,ind,tomorrow,,,6
suhuju,adj,,√uj,u adj,11
sūkara,masc,pig,,a masc,2
sūpa 1,masc,dahl; lentil curry; sauce,,a masc,2
sūriya 1,masc,sun,√sur,a masc,2
sekkha,masc,trainee; apprentice; learner; (comm) seven stages of a noble person before arahantship,√sikkh,a masc,2
sekha,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship,√sikkh,a masc,2
sekhiya 1,ptp,related to training; to be practised,√sikkh,a ptp,14
seṭṭha 1,adj,foremost; best (of); primary; most important; supreme,,a adj,11
seti 2,pr,sleeps,√sī,eti pr,3
seda,masc,sweat; drop of perspiration,√sid 1,a masc,2
senā,fem,army; military,,ā fem,7
semāna,prp,sleeping; lying down,√sī,māna prp,10
seyya 1.1,adj,better (than); preferable (to),,a adj,11
sevāla,masc,aquatic plant (used to make garlands); Vallisneria,,a masc,2
sevitabba 2,ptp,should be practised; should be followed; should be undertaken,√sev,a ptp,14
soka,masc,grief; sorrow; sadness,√suc 1,a masc,2
socati,pr,sorrows (over); grieves (about); mourns (over),√suc 1,ati pr,3
soci,aor,grieved; was sad,√suc 1,i aor,4
soceyya 1,nt,purity; purification rites,√suc 2,a nt,9
soṇa 3,masc,dog,,a masc,2
sota 1.1,masc,stream; river; current,√su 2,a masc,2
sota 2.1,nt,ear,√su 1,a nt,9
sotukāma,adj,wanting to hear; wishing to listen,,a adj,9
sotuṃ,inf,to hear,√su 1,,9
sotthāna,nt,safety; sanctuary; well-fare; well-being; blessing,√as 1,a nt,9
sotthinā,ind,safely,√as 1,,13
sotthiṃ,ind,safely; well; in peace,√as 1,,13
sodheti 1,pr,cleans; clears; purifies,√sudh,eti pr,14
sobhati 2,pr,looks beautiful (in),√subh,ati pr,3
somanassa,nt,(mental) pleasure; happiness; gladness; joy; positive state of mind,√man,a nt,9
soracca,nt,kindness; gentleness; compassion; (comm) good conduct,√ram 1,a nt,9
soḷasa 1,card,sixteen (16),,a1 card,12
svākkhāta,adj,well taught; well preached; well explained,√khā,a adj,11
vacanīya 2,ptp,should be spoken (to); should be told (to); should be said (to),√vac,a ptp,14
vacī 1,adj,verbal; with speech,√vac,ī adj,5
vaccha 1.1,masc,calf; yearling; young animal,,a masc,2
vajja 1.1,ptp,speaking; saying,√vad 1,a ptp,14
vajja 2.1,nt,fault (of); error (of); mistake (of),√vajj,a nt,14
vajjavant,adj,,√vajj,ant adj,6
vaḍḍhati,pr,increases (in); grows (in); develops (in),√vaḍḍh,ati pr,3
vaṇṇa 1.03,masc,appearance; complexion; countenance,√var 1,a masc,11
vata 2.1,nt,religious duty; spiritual practice; ritual observance; vow,√vat,a nt,9
vatta 1.1,nt,custom; practice; way of life; behaviour,√vatt,a nt,9
vattati 1,pr,proceeds; continues; goes forward; practices,√vatt,ati pr,3
vattī 2.1,masc,turner; who turns something,√vaṭṭ,ī masc,5
vattha 1.1,nt,cloth; clothes; robe,√vas 2,a nt,9
vatthi 1,fem,bladder; urinary tract,,i fem,8
vatthu 2,nt,site; location; base; grounds,√vas 1,u nt,9
vatvā,abs,having said; having spoken (about),√vad 1,,8
vadati 1,pr,says (to); speaks (to); tells (to),√vad 1,ati pr,3
vadeyya,opt,,√vad 1,ati pr,7
vana 1.1,nt,wood; forest; grove,,a nt,9
vanatha 2.1,masc,desire; craving,√van,a masc,2
vanta 1,pp,vomited,√vam,a pp east,11
vaya 1,masc,disintegration; decay; disappearance; dissolution; vanishing,√i 1,a masc,5
vasa 1.2,masc,control (over); authority (over); power (over); mastery (over),√vas 3,a masc,2
vasati,pr,lives; stays; resides (in),√vas 1,ati pr,3
vasala,masc,outcast; low-caste person,,a masc,2
vasalaka,masc,despicable outcast,,a masc,2
vassa 2,masc,rainy season; monsoon,√vass 1,a masc,2
vassa 3,nt,year,√vass 1,a nt,9
vassanta,prp,raining; pouring down,√vass 1,anta prp,10
vassāna,masc,monsoon; rainy season,√vass 1,a masc,2
vā 1,ind,or; either or,,,6
vācā 1,fem,speech; words; statement; talk,√vac,ā fem,7
vāṇija,masc,trader; dealer,,a masc,2
vāta 1,masc,wind,√vā,a masc,11
vāda 4,masc,saying; mentioning,√vad 1,a masc,2
vādī 1,adj,speaking; saying; telling,√vad 1,ī adj,5
vānara,masc,monkey,,a masc,2
vāyamati,pr,tries (to); makes an effort (to); strives (for); exerts oneself (to),√yam 1,ati pr,3
vāyamamāna,prp,making an effort (to); striving (for); exerting oneself (to),√yam 1,māna prp,10
vāyāma,masc,effort; striving; exertion; endeavour; activity,√yam 1,a masc,2
vāsa 1.1,masc,living; dwelling; residence; staying,√vas 1,a masc,2
vikappa 1.1,masc,alteration (to); improvement (to); distinction (regarding),√kapp 1,a masc,2
vigata 2,pp,without; free from,√gam,a pp,11
viggāhika,adj,quarrelsome; argumentative,√gah,a adj,11
vicāra 1,masc,"consideration; exploring, examination; pondering",√car 1,a masc,14
vicārita,pp,thought about; contemplated; investigated,√car 1,a pp,14
vicāreti 1,pr,thinks actively; contemplates; investigates; examines,√car 1,eti pr,14
vicikicchituṃ,inf,to doubt; to be uncertain,√cit 1,,9
vicitra 1,adj,diverse; varied,√cit 2,a adj,11
vijānāti 1,pr,comprehends; understands; recognises; distinguishes; is aware (of),√ñā,āti pr,3
vijjati 1,pr,exists (in); is found (in); is present (in),√vid 6,ati pr,13
vijjā 1,fem,knowledge; wisdom; understanding,√vid 5,ā fem,7
viññāṇa 1,nt,awareness; consciousness; mind; fifth of the five aggregates,√ñā,a nt,9
viññū 1,adj,wise; intelligent; discerning; knowledgeable,√ñā,ū adj,6
viññū 2,masc,wise person; sage; knowledgable man; intelligent person,√ñā,ū masc,6
viññeyya 2,ptp,could be known; should be recognized,√ñā,a ptp,14
vitakka 1,masc,thought; reflection; pondering,√takk,a masc,2
vitakkayati,pr,thinks (about); reflects (on); ponders (over),√takk,ati pr,3
vitakketi,pr,thinks (about); reflects (on); ponders (over),√takk,eti pr,3
vitta 1.1,nt,wealth; property; possession,√vid 4,a nt,11
vitthata,pp,wide; extended; broad,√thar,a pp,11
vitthārena 1,ind,in detail; in full; thoroughly,√thar,,13
vidatthi,fem,measure of length; span; length between outstretched thumb and little finger,,i fem,8
vidū 1,adj,wise; knowing; understanding,√vid 2,ū adj,6
vidvant,masc,who is wise; who is knowing; who is intelligent,√vid 2,ant masc,6
vidhā 3,fem,type (of); kind (of); sort (of); variety (of),√dhā,ā fem,7
vinaya 1,masc,discipline; training,√nī,a masc,2
vinayati,pr,removes; dispels,√nī,ati pr,3
vinassa,imp,disappear!; vanish!; get lost!,√nas,ati pr,4
vinassati 1,pr,perishes; is destroyed,√nas,ati pr,3
vinipāta,masc,state of suffering; purgatory; underworld,√pat 1,a masc,2
vineyya 1,ger,removing; getting rid (of),√nī,,8
vinodayati,pr,dispels; drives out; removes,√nud,ati pr,14
vipariṇāma,masc,change; alteration; transformation,√nam,a masc,2
vipallāsa 1,masc,distortion; delusion; hallucination; inversion; perversion,√as 2,a masc,2
vipassati,pr,sees deeply (into); sees in detail; understands with insight; has insight into,√dis 1,ati pr,3
vipassanā,fem,insight; penetrating internal vision; introspection,√dis 1,ā fem,7
vipāka 1,masc,(of an action) result; outcome; consequence; fruit,√pac,a masc,2
vipāceti,pr,spreads about; circulates; discusses widely,√vac,eti pr,14
vipula 1,adj,vast; extensive; expansive; massive,√pul,a adj,11
vippaṭisārī,adj,remorseful; regretful; repentant; sorry,√sar 2,ī adj,5
vippamutta,pp,freed (from); released (from); saved (from),√muc,a pp,11
vippariṇāma,masc,change; alteration; transformation,√nam,a masc,2
vippalapanta,prp,talking; chattering,√lap,anta prp,10
vippahāya,ger,completely abandoning; totally renouncing,√hā 1,,8
vibhaṅga 1,masc,analysis; classification; breakdown,√bhañj,a masc,2
vibhajja 1,ger,analysing in detail; classifying; explaining in detail; picking apart,√bhaj 1,,8
vibhāvayati,pr,understands clearly; perceives distinctly,√bhū,ati pr,14
vibhūsana,nt,decorating; adorning,√bhūs,a nt,9
vimuccati,pr,is released (from); is free (from),√muc,ati pr,13
vimucci,aor,became free (from); was released (from); was liberated (from),√muc,i aor,13
vimuccituṃ,inf,to become free (from); to be released (from); to be liberated (from),√muc,,13
vimutta 1,pp,freed (from); liberated (from); emancipated (from),√muc,a pp,11
vimutti,fem,release; liberation; deliverance; freedom; emancipation,√muc,i fem,8
viraja,adj,pure; stainless; untainted,√raj 2,a adj,11
virajjati 1,pr,becomes detached (from); loses interest (in); becomes dispassionate (towards); gets bored (with),√raj 1,ati pr,13
virajjituṃ,inf,to lose desire (for); to become detached (from); to lose interest (in); to become dispassionate (about); to get bored (of),√raj 1,,13
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),√raj 1,a masc,5
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),√raj 2,a masc,2
virājiya,ger,cleansing; purifying; removing,√raj 2,,14
viriya,nt,effort; energy; might; power,√vīr,a nt,9
visahati 1.1,pr,is able (to),√sah 2,ati pr,3
visaṃyoga 1,masc,detachment (from); separation (from),√yuj,a masc,14
visuddha 1,pp,cleansed; purified; refined,√sudh,a pp,11
visuddhi 1.1,fem,purity (of); purification (of); holiness,√sudh,i fem,8
visenā,fem,disarming; not opposing; (or) disassociating,,ā fem,7
viseni,fem,disarming; not opposing; (or) disassociating,,i fem,8
visesa 1,masc,distinction; attainment; superior state; eminence,√sis,a masc,2
vissajjetvā 1,abs,having released; having let go (of); having got rid (of); having given up,√sajj 1,,14
vissuta,pp,famous; renowned; heard of far and wide,√su 1,a pp,11
vivattayi,aor,untied; unravelled; (comm) torn out,√vatt,i aor,14
vivicca,ger,separating (from); aloof (from),√vic,,8
vividha 2,masc,shoulder pole for carrying,,a masc,2
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,√vic,a masc,2
vivecetuṃ,inf,to separate (from); to dissuade (from),√vic,,14
vihaññati 1,pr,suffers hardship (because of); suffers anguish (from),√han,ati pr,13
viharati 1,pr,lives (in); dwells (in); stays (in),√har 3,ati pr,3
viharanta,prp,living (in); dwelling (in); staying (at); remaining (in); continuing (in),√har 3,anta prp,10
viharitukāma,adj,wishing to live,,a adj,9
viharituṃ,inf,to live; to stay; to remain,√har 3,,9
vihareyya,opt,could live; could stay (in),√har 3,ati pr,7
vihāra 3,masc,mode of living; way of life; way to spend time; mode of existence,√har 3,a masc,2
vihārī,adj,(of a state of being) living in; who has; being,√har 3,ī adj,5
vihita 1,pp,arranged; prepared,√dhā,a pp,11
vihiṃsati,pr,hurts; harms; injures; is cruel,√his,ati pr,3
viheṭhayanta,prp,harming; vexing; annoying; troubling,√heṭh,anta prp,10
vīta 1.1,pp,without; free from,√i 1,a pp,11
vītināmeti 1,pr,(of time) spends,√nam,eti pr,14
vīmaṃsā 1,fem,inquiry; judgement; investigation; discrimination,√man,ā fem,7
vīriya 1,nt,effort; energy; might; power,√vīr,a nt,9
vīsati,card,twenty (20),,i card,12
vīhi,masc,rice paddy; Oryza sativa,,i masc,4
vuccati,pr,is said to be; is called,√vac,ati pr,13
vuṭṭhāpiyamāna,prp,being raised; being lifted up,√ṭhā,māna prp,14
